Date,Amount Salary,Amount BankSC,13 Drews Ct.,Work Related/Other,Description,Description II,Receipt Group,,,,,,,,,,,,,,
10/28/2014,-7.86,,,,Restaurant Meal,Bi-Lo,,,,,,,,,,,,,,,
10/28/2014,-22.78,,,,Hardware,Hughes Lumber,,,,,,,,,,,,,,,
10/28/2014,-58,,,,Bar,Blind Tiger,,,,,,,,,,,,,,,
10/29/2014,-7.93,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
10/30/2014,-8.61,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
10/30/2014,-8.84,,,,Restaurant Meal,Hannibals,,,,,,,,,,,,,,,
10/31/2014,-16.62,,,,Headphones,Kangaroo,,,,,,,,,,,,,,,
10/31/2014,-10.02,,,,Restaurant Meal,Caribean Soul Food,,,,,,,,,,,,,,,
10/17/2014,548.9,,,,Salary,,,,,,,,,,,,,,,,
10/23/2014,-35.1,,,,Gasoline,Kangaroo,,,,,,,,,,,,,,,
10/24/2014,451.51,,,,Salary,,,,,,,,,,,,,,,,
10/31/2014,458.9,,,,Salary,,,,,,,,,,,,,,,,
11/02/2014,-8.11,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
11/03/2014,99,,,,Amazon Prime,,,,,,,,,,,,,,,,
11/03/2014,-18.41,,,,Restaurant Meal,Food Lion,,,,,,,,,,,,,,,
11/03/2014,-10.17,,,,Restaurant Meal,Black Bean,,,,,,,,,,,,,,,
11/03/2014,-7.8,,,,Coffee,In N Out,,,,,,,,,,,,,,,
11/03/2014,-2.77,,,,Dip,Lil Cricket,,,,,,,,,,,,,,,
11/04/2014,-6.62,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
11/04/2014,-23.04,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
11/04/2014,-24,,,,Bar,Alley,,,,,,,,,,,,,,,
11/05/2014,-7.68,,,,Restaurant Meal,Black Bean,,,,,,,,,,,,,,,
11/06/2014,-15,,,,Car Insurance,Travelers,,,,,,,,,,,,,,,
11/06/2014,-3.3,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
11/06/2014,-18.43,,,,Beer,Charleston Beer Exchane,,,,,,,,,,,,,,,
11/06/2014,-3.62,,,,Coffe,Kangaroo Express,,,,,,,,,,,,,,,
11/06/2014,-2.7,,,,Dip,Kangaroo,,,,,,,,,,,,,,,
11/07/2014,-39.73,,,,Car Repair,Oil Change,,,,,,,,,,,,,,,
11/08/2014,-8.78,,,,Restaurant Meal,Black Bean,,,,,,,,,,,,,,,
11/08/2014,-10,,,,Coffee,In N Out,,,,,,,,,,,,,,,
11/20/2014,-25.49,,,,Restaurant Meal Old Towne Grill,,,,,,,,,,,,,,,,
11/10/2014,-20,,,,Entertainment,Museum tickets,,,,,,,,,,,,,,,
11/102014,-15.98,,,,Bar,Charleston Beer Works,,,,,,,,,,,,,,,
11/10/2014,-4.54,,,,Restaurant Meal,Food Lion,,,,,,,,,,,,,,,
11/10/2014,-11.92,,,,Beer,In n Out,,,,,,,,,,,,,,,
11/10/2014,-13.23,,,,Restaurant Meal,In n Out,,,,,,,,,,,,,,,
11/10/2014,-15,,,,Bar,Blin Tiger,,,,,,,,,,,,,,,
11/11/2014,-44.54,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
11/12/2014,-5.23,,,,Coffee,Kangaroo,,,,,,,,,,,,,,,
11/13/2014,-5.38,,,,Restaurant Meal,Wall Mart,,,,,,,,,,,,,,,
11/13/2014,-4.9,,,,Restaurant Meal,Bagel Ship,,,,,,,,,,,,,,,
11/14/2014,-7.46,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
11/14/2014,-13.09,,,,Restaurant Meal,Publix,,,,,,,,,,,,,,,
1/14/2014,-16,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
11/14/2014,-15.18,,,,beer,Charleston Beer Exchane,,,,,,,,,,,,,,,
11/15/2014,-5.04,,,,Restaurant Meal,Publix,,,,,,,,,,,,,,,
11/15/2014,-11.69,,,,Beer,In n Out,,,,,,,,,,,,,,,
11/15/2014,-16.62,,,,Beer,In n Out,,,,,,,,,,,,,,,
11/05/2014,-37.7,,,,Gasoline,Kangaroo,,,,,,,,,,,,,,,
11/05/2014,-120.25,,,,Health Insurance,coventry,,,,,,,,,,,,,,,
11/06/2014,443.09,,,,Salary,Tupper Builders,,,,,,,,,,,,,,,
11/12/2014,-14,,,,Bicyle Repair,Bicycle Shoppe,,,,,,,,,,,,,,,
11/13/2014,-34.26,,,,Gasoline,Kangaroo,,,,,,,,,,,,,,,
11/14/2014,,-10,,,Tax Sale,Registration,,,,,,,,,,,,,,,
11/17/2014,-25.25,,,,Restaurant Meal,CO,,,,,,,,,,,,,,,
11/17/2014,-6.5,,,,Restaurant Meal,King Street Grocer,,,,,,,,,,,,,,,
1/17/2014,-27.09,,,,Beer,Bottles,,,,,,,,,,,,,,,
11/17/2014,-4.5,,,,Bar,Blind Tiger,,,,,,,,,,,,,,,
11/17/2014,-1.09,,,,Drink,Kangaroo,,,,,,,,,,,,,,,
11/17/2014,-1.93,,,,Coffee,Starbucks,,,,,,,,,,,,,,,
11/17/2014,-8.5,,,,Restaurant Meal,Edward Walker,,,,,,,,,,,,,,,
11/18/2014,-43.13,,,,Groceries,Harris Teter,,,,,,,,,,,,,,,
11/18/2014,-5.52,,,,Restaurant Meal,Cilantros,,,,,,,,,,,,,,,
11/19/2014,-8.78,,,,Restaurant Meal,Black Bean,,,,,,,,,,,,,,,
11/19/2014,-5.78,,,,Restaurant Meal,Kangaroo Express,,,,,,,,,,,,,,,
11/20/2014,-2.77,,,,Dip,Lil Cricket,,,,,,,,,,,,,,,
11/21/2014,-8.34,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
11/21/2014,-15.18,,,,Beer,Charleston Beer Exchange,,,,,,,,,,,,,,,
11/21/2014,-11.05,,,,Restaurant Meal,Bull Street Gourmet,,,,,,,,,,,,,,,
11/21/2014,-39.24,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
11/24/2014,-11.96,,,,Restaurant Meal,Food Lion,,,,,,,,,,,,,,,
11/24/2014,-3.57,,,,Snacks,Broad Street Market,,,,,,,,,,,,,,,
11/24/2014,-3.13,,,,Dip,In N Out,,,,,,,,,,,,,,,
11/24/2014,-25.45,,,,Medical Supplies,Rite Aid,,,,,,,,,,,,,,,
11/25/2014,-38.8,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
11/25/2014,-11.05,,,,Restaurant Meal,Ted's Butcher Block,,,,,,,,,,,,,,,
11/25/2014,-12.1,,,,Restaurant Meal,Butcher & Bee,,,,,,,,,,,,,,,
11/25/2014,-2.32,,,,Coffee,Starbucks,,,,,,,,,,,,,,,
11/28/2014,-2.7,,,,Coffee,Kangaroo,,,,,,,,,,,,,,,
11/28/2014,-3.06,,,,Dip,Lil Cricket,,,,,,,,,,,,,,,
11/28/2014,-20.79,,,,Restaurant Meal,CO,,,,,,,,,,,,,,,
11/28/2014,-10.39,,,,Restaurant Meal,Kickin Chicken,,,,,,,,,,,,,,,
11/29/2014,-11.75,,,,Bar,The Griffon,,,,,,,,,,,,,,,
12/01/2014,-16.17,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
12/01/2014,-4,,,,Bar,Warehouse,,,,,,,,,,,,,,,
11/17/2014,3,,,,Counter Credit,,,,,,,,,,,,,,,,
11/24/2014,458.9,,,,Salary,,,,,,,,,,,,,,,,
11/25/2014,-41.16,,,,Gar,Kangaroo,,,,,,,,,,,,,,,
12/01/2014,369.22,,,,Salary,,,,,,,,,,,,,,,,
12/02/2014,-6.08,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
12/02/2014,-32.5,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
12/02/2014,-27.5,,,,Bar,Silver Dolar,,,,,,,,,,,,,,,
12/02/2014,-1.92,,,,Refreshments,Burbage's,,,,,,,,,,,,,,,
12/02/2014,-28,,,,Bar,Blind Tiger,,,,,,,,,,,,,,,
12/03/2014,-8.84,,,,Restaurant Meal,Queen Street,,,,,,,,,,,,,,,
12/02/2014,-3.57,,,,Dip,Broad Street Market,,,,,,,,,,,,,,,
12/05/2014,-10.99,,,,Restaurant Meal,Black Bean,,,,,,,,,,,,,,,
12/05/2014,-43,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
12/06/2014,-2.32,,,,Coffee,Starbucks,,,,,,,,,,,,,,,
12/08/2014,-5.8,,,,Restaurant Meal,Great Wall,,,,,,,,,,,,,,,
12/08/2014,-13.92,,,,Restaurant Meal,Queen Street,,,,,,,,,,,,,,,
12/08/2014,-23.29,,,,Restaurant Meal,Norm's Pizza,,,,,,,,,,,,,,,
12/08/2014,-20,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
12/08/2014,-9.22,,,,Restaurant Meal,Zia Taqueria,,,,,,,,,,,,,,,
12/05/2014,-120.25,,,,Health Insurance,,,,,,,,,,,,,,,,
12/08/2014,-13,,,,Skyzone,,,,,,,,,,,,,,,,
12/09/2014,99.46,,,,Salary,,,,,,,,,,,,,,,,
12/09/2014,-3.57,,,,Dip,broad street market,,,,,,,,,,,,,,,
12/09/2014,-39.41,,,,Bi-lo,Groceries,,,,,,,,,,,,,,,
12/09/2014,-10.14,,,,Restaurant Meal,Taco Spot,,,,,,,,,,,,,,,
12/09/2014,-2.32,,,,Coffe,Starbucks,,,,,,,,,,,,,,,
12/10/2014,-75,,,,Parking Tickets,Charleston,,,,,,,,,,,,,,,
12/11/2014,9.3,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
12/13/2014,-33.03,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
12/13/2014,-30.72,,,,Gasoline,Kangaroo,,,,,,,,,,,,,,,
12/15/2014,-34.22,,,,Beer Supplies,Yeast,,,,,,,,,,,,,,,
12/15/2014,-36.62,,,,Gasoline,Edisto Marina,,,,,,,,,,,,,,,
12/15/2014,-9.56,,,,Restaurant Meal,Bertha's,,,,,,,,,,,,,,,
12/15/2014,-15.03,,,,Beer,Kangaroo,,,,,,,,,,,,,,,
12/15/2014,-5.75,,,,Dip,Lil Cricket,,,,,,,,,,,,,,,
12/16/2014,-13.99,,,,Groceries,Food Lion,,,,,,,,,,,,,,,
12/16/2014,-7.5,,,,Restaurant Meal,Barberitos,,,,,,,,,,,,,,,
12/16/2014,-9.94,,,,Restaurant Meal,Delz,,,,,,,,,,,,,,,
12/17/2014,-10.36,,,,Restaurant Meal,Moe's,,,,,,,,,,,,,,,
12/18/2014,-20.73,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
12/18/2014,-6.62,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
12/18/2014,-4.96,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
12/19/2014,-9.95,,,,Restaurant Meal,Queen Street,,,,,,,,,,,,,,,
12/19/2014,-225,,,,Healthcare,Healthfirst,,,,,,,,,,,,,,,
12/20/2014,-5.06,,,,Restaurant Meal,Haris Teeter,,,,,,,,,,,,,,,
12/20/2014,-3.52,,,,Dip,Lil Cricket,,,,,,,,,,,,,,,
12/22/2014,-21.32,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
12/22/2014,-15,,,,Bascketball Game,CoC,,,,,,,,,,,,,,,
12/22/2014,-5,,,,Bar,Burns Alley,,,,,,,,,,,,,,,
12/22/2014,-5.13,,,,Dip,Lil Cricket,,,,,,,,,,,,,,,
12/22/2014,-19.97,,,,Beer Supplies,Gas,,,,,,,,,,,,,,,
12/22/2014,-23.73,,,,Groceries,Bi-lo,,,,,,,,,,,,,,,
12/22/2014,-18.43,,,,Harris Teeter,,,,,,,,,,,,,,,,
12/22/2014,-7,,,,Restaurant Meal,Aramark,,,,,,,,,,,,,,,
12/23/2014,-31.78,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
12/24/2014,-10.83,,,,Hardware,Hughes Lumber,,,,,,,,,,,,,,,
12/24/2014,-3.52,,,,Dip,Lil Cricket,,,,,,,,,,,,,,,
12/24/2014,-13.26,,,,Restaurant Meal,Dellz,,,,,,,,,,,,,,,
12/26/2014,-23.86,,,,Beer,Charleston Beer Exchange,,,,,,,,,,,,,,,
12/26/2014,,-700,,,Donation,Coastal Conservation League,,,,,,,,,,,,,,,
12/26/2014,-6.5,,,,Bar,Blind Tiger,,,,,,,,,,,,,,,
12/26/2014,88.9,,,,Cash Back,,,,,,,,,,,,,,,,
12/27/2014,-6.17,,,,Snus,King Market,,,,,,,,,,,,,,,
12/12/2014,385.04,,,,Salary,,,,,,,,,,,,,,,,
12/19/2014,706.79,,,,Salary,,,,,,,,,,,,,,,,
12/24/2014,466.83,,,,Salary,,,,,,,,,,,,,,,,
12/26/2014,-29.52,,,,Gasoline,Kangaroo,,,,,,,,,,,,,,,
12/26/2014,-39.18,,,,Bar,Midtown,,,,,,,,,,,,,,,
12/26/2014,-14.18,,,,Beer,Kangaroo,,,,,,,,,,,,,,,
12/26/2014,-17.34,,,,Restaurant Meal,Variety Store,,,,,,,,,,,,,,,
12/26/2014,-8.79,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
12/26/2014,-23.96,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
12/29/2014,-8.88,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
12/29/2014,-7.68,,,,Restaurant Meal,Black Bean,,,,,,,,,,,,,,,
12/30/2014,-4.05,,,,Restaurant Meal,Trader Joes,,,,,,,,,,,,,,,
12/30/2014,-2.32,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
12/30/2014,-35.53,,,,Hardware,Hollywood Hardware,,,,,,,,,,,,,,,
12/31/2014,-9.5,,,,Entertainment,Mt Pleasant movie theater,,,,,,,,,,,,,,,
12/31/2014,-4.11,,,,Snus,Exxonn Mobil,,,,,,,,,,,,,,,
01/02/2014,-15.42,,,,Restaurant Meal,Page's Okra Grill,,,,,,,,,,,,,,,
01/02/2014,-2.43,,,,Drink,Sunoco Gas,,,,,,,,,,,,,,,
01/02/2014,-3.05,,,,Snacks,Kangaroo Express,,,,,,,,,,,,,,,
01/02/2014,-33.54,,,,Beer,Harris Teeter,,,,,,,,,,,,,,,
01/02/2014,-5.42,,,,Restaurant Meal,Mt pleasant restaurant,,,,,,,,,,,,,,,
01/02/2014,-27,,,,Bar,The Alley,,,,,,,,,,,,,,,
01/02/2014,-21.56,,,,Restaurant Meal,Kicking Chicken,,,,,,,,,,,,,,,
01/03/2014,-21.32,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
01/03/2014,-29.58,,,,Gas,El Cheapo,,,,,,,,,,,,,,,
01/05/2014,-16,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
01/05/2014,-15,,,,Bar,Pearlz Vista,,,,,,,,,,,,,,,
01/05/2014,-11.02,,,,Restaurant Meal,Sakura,,,,,,,,,,,,,,,
01/05/2014,-3,,,,Bar,Tin Roof,,,,,,,,,,,,,,,
01/05/2014,-12.25,,,,Bar,Nightcaps,,,,,,,,,,,,,,,
01/05/2014,-2.5,,,,Coffe,College Cofe,,,,,,,,,,,,,,,
01/05/2014,-20.6,,,,Restaurant Meal,Mellow Mushroom,,,,,,,,,,,,,,,
01/05/2014,-20,,,,Bar,Jake's,,,,,,,,,,,,,,,
01/05/2014,-21.5,,,,Bar,Woody,,,,,,,,,,,,,,,
01/06/2014,-18.43,,,,Hardware,True Value,,,,,,,,,,,,,,,
01/06/2014,-23.67,,,,Groceries,H&L Asian Market,,,,,,,,,,,,,,,
01/07/2014,-17.09,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
01/07/2015,-2.92,,,,Red Bull,Broad Street Market,,,,,,,,,,,,,,,
01/07/2014,-3.52,,,,Snus,Lil Cricket,,,,,,,,,,,,,,,
01/08/2014,-12.12,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
01/09/2015,,,,-17.98,Hardware,Tupper Builders,11 Church,,,,,,,,,,,,,,
01/10/2014,-20.89,,,,Restaurant Meal,Lowe's,,,,,,,,,,,,,,,
01/10/2014,-9.83,,,,Restaurant Meal,Black Bean,,,,,,,,,,,,,,,
01/10/2014,,,,-34.68,Hardware,Tupper Builders,11 Church,,,,,,,,,,,,,,
12/29/2014,-34.33,,,,Gift,Fish Food,,,,,,,,,,,,,,,
12/29/2014,-10.56,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
12/29/2014,-10.8,,,,Taxi,Uber,,,,,,,,,,,,,,,
12/29/2014,,-200,,,Margi Salary,,,,,,,,,,,,,,,,
01/05/2014,-135.98,,,,Health Insurance,,,,,,,,,,,,,,,,
01/08/2014,327.29,,,,Salary,,,,,,,,,,,,,,,,
01/25/2014,,200,,,Reimbursement,Margie,,,,,,,,,,,,,,,
01/20/2015,,,,18.4,Returns,Lowe's,,,,,,,,,,,,,,,
01/12/2014,-7.72,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
01/12/2015,-8.67,,,,Beer Supplies,Bottles,,,,,,,,,,,,,,,
01/12/2015,-10,,,,Entertainment,Ashley River lanes,,,,,,,,,,,,,,,
01/12/2015,-11.5,,,,Bar,Emma's,,,,,,,,,,,,,,,
01/12/2015,-27.37,,,,Restaurant Meal,Chopsticks,,,,,,,,,,,,,,,
01/12/2015,-15.5,,,,Bar,Blind Tiger,,,,,,,,,,,,,,,
01/12/2015,-11.87,,,,Beer,Lil Cricket,,,,,,,,,,,,,,,
01/12/2015,-15.88,,,,Restaurant Meal,Dellz,,,,,,,,,,,,,,,
01/13/2014,-5,,,,Restaurant Meal,Hot Links John's Island,,,,,,,,,,,,,,,
01/13/2015,-32.14,,,,Groceries,Bilo,,,,,,,,,,,,,,,
01/13/2015,-3.24,,,,Dip,Kangaroo Express,,,,,,,,,,,,,,,
01/14/2014,-7.23,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
01/14/2015,-15.47,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
01/15/2015,-9.37,,,,Restaurant Meal,Bull Street,,,,,,,,,,,,,,,
01/15/2015,-3.57,,,,Dip,Broad Street Market,,,,,,,,,,,,,,,
01/16/2015,-6.88,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
01/17/2015,-7.09,,,,Restaurant Meal,Bi-Lo,,,,,,,,,,,,,,,
01/17/2015,-8.83,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
01/19/2015,-27.89,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
01/19/2015,-10.14,,,,Restaurant meal,Bilo,,,,,,,,,,,,,,,
01/19/2015,-37.71,,,,Oyster Farming,Tractor Supply,,,,,,,,,,,,,,,
01/19/2015,-3.24,,,,Dip,Kangaroo Express,,,,,,,,,,,,,,,
01/21/2015,-4.2,,,,Dip,Broad Street Market,,,,,,,,,,,,,,,
01/21/2015,-4.11,,,,Hardware,True Value,,,,,,,,,,,,,,,
01/23/2015,-9.27,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
01/23/2015,-8.84,,,,Restaurant Meal,Queen Street Grocery,,,,,,,,,,,,,,,
01/24/2015,-5.85,,,,Beverages,Nin N Out,,,,,,,,,,,,,,,
01/24/2015,-13.98,,,,Restaurant Meal,Dellz Uptown,,,,,,,,,,,,,,,
01/12/2015,-27.21,,,,Gasoline,Oaks Serviece,,,,,,,,,,,,,,,
01/16/2014,422.58,,,,Salary,,,,,,,,,,,,,,,,
01/23/2015,424.93,,,34.26,Salary/Recompensation,,,,,,,,,,,,,,,,
1/26/2015,-25.95,,,,Groceries,Publix,,,,,,,,,,,,,,,
1/26/2015,-16,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
1/26/2015,-20,,,,Ga,Kangaroo,,,,,,,,,,,,,,,
1/26/2015,-47.46,,,,Groceries,Piggly Wiggly,,,,,,,,,,,,,,,
1/27/2015,-7.74,,,,Restaurant Meal,Artisan Meat Share,,,,,,,,,,,,,,,
1/27/2015,-12.37,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
1/28/2015,-7.72,,,,Restaurant Meal,Barberites,,,,,,,,,,,,,,,
1/28/2015,-7.23,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
1/29/2015,,,,-30.08,Bird Hardware,,New Street,,,,,,,,,,,,,,
1/28/2015,,,,-44.55,Bird Hardware,,New Street,,,,,,,,,,,,,,
1/29/20l5,-9.55,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
1/29/2015,,,,-17.36,Hardware,Bird Hardware,New Street,,,,,,,,,,,,,,
1/30/2015,-42.14,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
1/31/2015,-5.51,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
1/31/2015,-9.39,,,,Restaurant Meal,Ted's Butcher,,,,,,,,,,,,,,,
02/02/2015,-24.36,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
02/02/2015,-3.03,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
02/02/2015,-5.01,,,,Cigaretts,Kangaroo,,,,,,,,,,,,,,,
02/02/2015,-7.68,,,,Restaurant Meal,Black Bean,,,,,,,,,,,,,,,
02/02/2015,-3.52,,,,Snus,Lil Cricket,,,,,,,,,,,,,,,
02/03/2015,-7,,,,Bar,Taco Boy,,,,,,,,,,,,,,,
02/03/2015,-7,,,,Bar,Taco Boy,,,,,,,,,,,,,,,
02/04/2015,-16.68,,,,Hardware,Gloves for work,,,,,,,,,,,,,,,
02/05/2015,,,,-76.18,Hardware,Spectrum Paint,Church Street,,,,,,,,,,,,,,
02/06/2015,-33.26,,,,Groceries,Bi-lo,,,,,,,,,,,,,,,
02/06/2015,-9.54,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
02/09/2015,-11.21,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
02/09/2015,-5.67,,,,Cigarretts,LIL CRICKET,,,,,,,,,,,,,,,
2/10/2015,-11.1,,,,Restaurant Meal,Chopsticsks,,,,,,,,,,,,,,,
2/10/2015,-1.93,,,,Coffee,Starbucks,,,,,,,,,,,,,,,
2/10/2015,-23.64,,,,Groceries,H&L Asian Market,,,,,,,,,,,,,,,
1/30/2015,443.37,,,,Salary,,,,,,,,,,,,,,,,
02/02/2015,-11.12,,,,Uber,,,,,,,,,,,,,,,,
02/03/2015,-25.62,,,,Gasoline,Kangaroo,,,,,,,,,,,,,,,
02/05/2015,-135.98,,,,Health Insurance,,,,,,,,,,,,,,,,
02/06/2015,443.37,,,,Salary,,,,,,,,,,,,,,,,
2/10/2015,-8.3,,,,Restaurant Meal,Chopsticks,,,,,,,,,,,,,,,
2/11/2015,-8.59,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
2/11/2015,-1.93,,,,Coffee,Starbucks,,,,,,,,,,,,,,,
2/12/2015,-7.86,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
2/13/2015,638.5,,,,Salary,,,,,,,,,,,,,,,,
2/13/2015,,,,150.81,,,,,,,,,,,,,,,,,
2/16/2015,-17.47,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
2/16/2015,-28.86,,,,Restaurant Meal,Dellz,,,,,,,,,,,,,,,
2/17/2015,-3.68,,,,Snus,City Marina,,,,,,,,,,,,,,,
2/18/2015,-33.52,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
2/15/2015,-3.03,,,,Restaurant Meal,Bi-lo,,,,,,,,,,,,,,,
2/20/2015,-8.77,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
2/20/2015,-13.81,,,,Restaurant Meal,Whole Foods,,,,,,,,,,,,,,,
2/20/2015,-10.58,,,,Restaurant Meal,Queen Street Grocery,,,,,,,,,,,,,,,
2/20/2015,-20,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
2/21/2015,-5.06,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
2/23/2015,-38.03,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
2/24/2015,-8.84,,,,Restaurant meal,Queen Street Grocery,,,,,,,,,,,,,,,
2/25/2015,-10.13,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
2/26/2015,-7.23,,,,Restaurant meal,Harris Teeter,,,,,,,,,,,,,,,
2/27/2015,-45.59,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
2/27/2015,-9.95,,,,Restaurant Meal,Queen Street Grocery,,,,,,,,,,,,,,,
2/28/2015,-49.36,,,,Beer Supplies,Yeast Homebrew,,,,,,,,,,,,,,,
03/01/2015,-17.06,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
03/01/2015,-14.09,,,,Groceries,Bi-lo,,,,,,,,,,,,,,,
2/17/2015,-28.37,,,,Gas,Kangaroo,,,,,,,,,,,,,,,
2/25/2015,410.09,,,,Salary,,,,,,,,,,,,,,,,
2/25/2015,,,,116.48,Compensation,,,,,,,,,,,,,,,,
2/25/2015,-10,,,,Parking Ticket,,,,,,,,,,,,,,,,
2/27/2015,451.82,,,,Salary,,,,,,,,,,,,,,,,
03/03/2015,-5.19,,,,Drinks,City Marina,,,,,,,,,,,,,,,
03/06/2015,-34.18,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
03/06/2015,-16.44,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
03/07/2015,-21.24,,,,Healthcare,Oral Care,,,,,,,,,,,,,,,
03/09/2015,-10.15,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
03/09/2015,-19.47,,,,Groceries,Bilo,,,,,,,,,,,,,,,
03/09/2015,-13.09,,,,Groceries,Earth Fare,,,,,,,,,,,,,,,
03/09/2015,-20,,,,Gasoline,Kangaroo,,,,,,,,,,,,,,,
3/10/2015,-2.43,,,,Drinks,City Marina,,,,,,,,,,,,,,,
3/13/2015,-23.58,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
3/13/2015,-8.3,,,,Drinks,Claire's,,,,,,,,,,,,,,,
3/14/2015,-2.53,,,,Drinks,Harris Teeter,,,,,,,,,,,,,,,
2/14/2015,-10.98,,,,Beer,Speedway,,,,,,,,,,,,,,,
3/14/2015,-1.93,,,,Coffee,Starbucks,,,,,,,,,,,,,,,
3/14/2015,-20,,,,Gas,Kangaroo,,,,,,,,,,,,,,,
3/14/2015,-6.08,,,,Restaurant Meal,Harris Teeter,,,,,,,,,,,,,,,
3/15/2015,-46.05,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
3/15/2015,-3,,,,Car Cleaning,,,,,,,,,,,,,,,,
3/6/2015,160,,,,Self-employed,Doors 52 Murray-Kate,,,,,,,,,,,,,,,
3/12/2015,100,,,,Self-Employed,Doors 52 Murray- John,,,,,,,,,,,,,,,
3/13/2014,100,,,,Self-employed,Doors 52 Murray-Kate,,,,,,,,,,,,,,,
3/5/2015,-135.98,,,,Healthcare,Coventry Health,,,,,,,,,,,,,,,
03/06/2015,499.65,,,,Salary,,,,,,,,,,,,,,,,
3/13/2015,499.65,,,,Salary,,,,,,,,,,,,,,,,
3/16/2015,-20,,,,Gasoline,Kangaroo Express,,,,,,,,,,,,,,,
3/16/2015,-6.08,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
3/17/2015,-16.95,,,,Amazon,Adapter for Modem,,,,,,,,,,,,,,,
3/18/2015,-7.89,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
3/18/2015,-16,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
